FixedValues,WinRate,AvgIters
71,1,1
70,1,1.02
68,1,1.1
66,1,1.32
73,1,1
79,1,1
77,1,1
75,1,1
74,1,1
72,1,1
69,1,1.02
78,1,1
80,1,1
76,1,1
67,1,1.1
60,1,3.12
65,1,1.64
54,1,5.28
64,1,1.8
52,1,6.68
63,1,2.3
62,1,2.58
61,1,2.72
59,1,3.82
58,1,4.04
57,1,4.3
56,1,4.68
55,1,5.04
53,1,5.7
51,1,6.74
49,1,7.54
50,1,7.64
47,0.98,8.95918
46,0.98,11.3878
48,0.98,9.10204
45,0.98,13.5918
44,0.98,18.4286
43,0.94,20.1702
41,0.96,23.3542
42,0.96,22.1458
1,0.88,91.1364
40,0.88,19.7045
0,0.86,71.8605
39,0.84,25.7619
2,0.72,94.1111
38,0.7,30.9714
37,0.68,40.8529
4,0.62,97.5484
36,0.62,41.6452
35,0.58,66
5,0.56,95.8571
3,0.58,92.6897
8,0.44,98.6364
33,0.54,62.9259
7,0.44,140.773
34,0.52,93.8462
9,0.4,89.9
13,0.44,95.1818
6,0.46,102.913
11,0.4,143.8
14,0.4,150.65
29,0.3,69
32,0.3,70.8667
31,0.3,80.8667
10,0.34,96.2941
12,0.28,131.714
17,0.18,132.889
15,0.28,136.429
27,0.22,126.455
23,0.12,199.333
19,0.14,193.714
28,0.2,110.5
30,0.24,60
21,0.16,103
16,0.18,104
22,0.06,95.3333
20,0.14,131.714
18,0.12,107.167
25,0.12,128.333
26,0.06,175
24,0.1,166.8
